mush_feature,feature_desc,feature_code
bruises,bruises,t
bruises,no,f
cap-color,brown,n
cap-color,buff,b
cap-color,cinnamon,c
cap-color,gray,g
cap-color,green,r
cap-color,pink,p
cap-color,purple,u
cap-color,red,e
cap-color,white,w
cap-color,yellow,y
cap-shape,bell,b
cap-shape,conical,c
cap-shape,convex,x
cap-shape,flat,f
cap-shape,knobbed,k
cap-shape,sunken,s
cap-surface,fibrous,f
cap-surface,grooves,g
cap-surface,scaly,y
cap-surface,smooth,s
gill-attachment,attached,a
gill-attachment,descending,d
gill-attachment,free,f
gill-attachment,notched,n
gill-spacing,close,c
gill-spacing,crowded,w
gill-spacing,distant,d
odor,almond,a
odor,anise,l
odor,creosote,c
odor,fishy,y
odor,foul,f
odor,musty,m
odor,none,n
odor,pungent,p
odor,spicy,s
safe,poisonous,0
safe,safetonom,1
gill-size,broad,b
gill-size,narrow,n
gill-color,black,k
gill-color,brown,n
gill-color,buff,b
gill-color,chocolate,h
gill-color,gray,g
gill-color,green,r
gill-color,orange,o
gill-color,pink,p
gill-color,purple,u
gill-color,red,e
gill-color,white,w
gill-color,yellow,y
stalk-shape,enlarging,e
stalk-shape,tapering,t
stalk-root,bulbous,b
stalk-root,club,c
stalk-root,cup,u
stalk-root,equal,e
stalk-root,rhizomorphs,z
stalk-root,rooted,r
stalk-root,missing,?
stalk-surface-above-ring,fibrous,f
stalk-surface-above-ring,scaly,y
stalk-surface-above-ring,silky,k
stalk-surface-above-ring,smooth,s
stalk-surface-below-ring,fibrous,f
stalk-surface-below-ring,scaly,y
stalk-surface-below-ring,silky,k
stalk-surface-below-ring,smooth,s
stalk-color-above-ring,brown,n
stalk-color-above-ring,buff,b
stalk-color-above-ring,cinnamon,c
stalk-color-above-ring,gray,g
stalk-color-above-ring,orange,o
stalk-color-above-ring,pink,p
stalk-color-above-ring,red,e
stalk-color-above-ring,white,w
stalk-color-above-ring,yellow,y
stalk-color-below-ring,brown,n
stalk-color-below-ring,buff,b
stalk-color-below-ring,cinnamon,c
stalk-color-below-ring,gray,g
stalk-color-below-ring,orange,o
stalk-color-below-ring,pink,p
stalk-color-below-ring,red,e
stalk-color-below-ring,white,w
stalk-color-below-ring,yellow,y
veil-type,partial,p
veil-type,universal,u
veil-color,brown,n
veil-color,orange,o
veil-color,white,w
veil-color,yellow,y
ring-number,none,n
ring-number,one,o
ring-number,two,t
ring-type,cobwebby,c
ring-type,evanescent,e
ring-type,flaring,f
ring-type,large,l
ring-type,none,n
ring-type,pendant,p
ring-type,sheathing,s
ring-type,zone,z
spore-print-color,black,k
spore-print-color,brown,n
spore-print-color,buff,b
spore-print-color,chocolate,h
spore-print-color,green,r
spore-print-color,orange,o
spore-print-color,purple,u
spore-print-color,white,w
spore-print-color,yellow,y
population,abundant,a
population,clustered,c
population,numerous,n
population,scattered,s
population,several,v
population,solitary,y
habitat,grasses,g
habitat,leaves,l
habitat,meadows,m
habitat,paths,p
habitat,urban,u
habitat,waste,w
habitat,woods,d
