,mush_feature,feature_desc,feature_code
0,bruises,bruises,t
1,bruises,no,f
2,cap_color,brown,n
3,cap_color,buff,b
4,cap_color,cinnamon,c
5,cap_color,gray,g
6,cap_color,green,r
7,cap_color,pink,p
8,cap_color,purple,u
9,cap_color,red,e
10,cap_color,white,w
11,cap_color,yellow,y
12,cap_shape,bell,b
13,cap_shape,conical,c
14,cap_shape,convex,x
15,cap_shape,flat,f
16,cap_shape,knobbed,k
17,cap_shape,sunken,s
18,cap_surface,fibrous,f
19,cap_surface,grooves,g
20,cap_surface,scaly,y
21,cap_surface,smooth,s
22,gill_attachment,attached,a
23,gill_attachment,descending,d
24,gill_attachment,free,f
25,gill_attachment,notched,n
26,gill_spacing,close,c
27,gill_spacing,crowded,w
28,gill_spacing,distant,d
29,odor,almond,a
30,odor,anise,l
31,odor,creosote,c
32,odor,fishy,y
33,odor,foul,f
34,odor,musty,m
35,odor,none,n
36,odor,pungent,p
37,odor,spicy,s
38,safe,poisonous,0
39,safe,safetonom,1
40,gill_size,broad,b
41,gill_size,narrow,n
42,gill_color,black,k
43,gill_color,brown,n
44,gill_color,buff,b
45,gill_color,chocolate,h
46,gill_color,gray,g
47,gill_color,green,r
48,gill_color,orange,o
49,gill_color,pink,p
50,gill_color,purple,u
51,gill_color,red,e
52,gill_color,white,w
53,gill_color,yellow,y
54,stalk_shape,enlarging,e
55,stalk_shape,tapering,t
56,stalk_root,bulbous,b
57,stalk_root,club,c
58,stalk_root,cup,u
59,stalk_root,equal,e
60,stalk_root,rhizomorphs,z
61,stalk_root,rooted,r
62,stalk_root,missing,?
63,stalk_surface_above_ring,fibrous,f
64,stalk_surface_above_ring,scaly,y
65,stalk_surface_above_ring,silky,k
66,stalk_surface_above_ring,smooth,s
67,stalk_surface_below_ring,fibrous,f
68,stalk_surface_below_ring,scaly,y
69,stalk_surface_below_ring,silky,k
70,stalk_surface_below_ring,smooth,s
71,stalk_color_above_ring,brown,n
72,stalk_color_above_ring,buff,b
73,stalk_color_above_ring,cinnamon,c
74,stalk_color_above_ring,gray,g
75,stalk_color_above_ring,orange,o
76,stalk_color_above_ring,pink,p
77,stalk_color_above_ring,red,e
78,stalk_color_above_ring,white,w
79,stalk_color_above_ring,yellow,y
80,stalk_color_below_ring,brown,n
81,stalk_color_below_ring,buff,b
82,stalk_color_below_ring,cinnamon,c
83,stalk_color_below_ring,gray,g
84,stalk_color_below_ring,orange,o
85,stalk_color_below_ring,pink,p
86,stalk_color_below_ring,red,e
87,stalk_color_below_ring,white,w
88,stalk_color_below_ring,yellow,y
89,veil_type,partial,p
90,veil_type,universal,u
91,veil_color,brown,n
92,veil_color,orange,o
93,veil_color,white,w
94,veil_color,yellow,y
95,ring_number,none,n
96,ring_number,one,o
97,ring_number,two,t
98,ring_type,cobwebby,c
99,ring_type,evanescent,e
100,ring_type,flaring,f
101,ring_type,large,l
102,ring_type,none,n
103,ring_type,pendant,p
104,ring_type,sheathing,s
105,ring_type,zone,z
106,spore_print_color,black,k
107,spore_print_color,brown,n
108,spore_print_color,buff,b
109,spore_print_color,chocolate,h
110,spore_print_color,green,r
111,spore_print_color,orange,o
112,spore_print_color,purple,u
113,spore_print_color,white,w
114,spore_print_color,yellow,y
115,population,abundant,a
116,population,clustered,c
117,population,numerous,n
118,population,scattered,s
119,population,several,v
120,population,solitary,y
121,habitat,grasses,g
122,habitat,leaves,l
123,habitat,meadows,m
124,habitat,paths,p
125,habitat,urban,u
126,habitat,waste,w
127,habitat,woods,d
